Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,2145493000.0,,,,,2074173000.0,71320000.0,,74837000.0,29779000.0,46775000.0,0.97,0.94,49135552.0,50866318.0,265600000.0,,,,,,83843000.0,545837000.0,,313839000.0,244304000.0,24589000.0,35557000.0,1733537000.0,,,5695000.0,636819000.0,,,,64870000.0,954369000.0,405682000.0,,763230000.0,1733537000.0,,6888000.0,,,,,948000.0,,-85950000.0,,-98256000.0,,,,,21473000.0,63602000.0,,,-86044000.0,,295000.0,46148000.0,-138152000.0,27940000.0
2010-09-30,3267354000.0,,,,,3155786000.0,111568000.0,,110940000.0,42942000.0,69437000.0,1.43,1.38,49238406.0,50938357.0,397666000.0,,,,,,63408000.0,675988000.0,,311195000.0,247757000.0,24608000.0,28398000.0,1795177000.0,,,52936000.0,661092000.0,,,,66355000.0,991245000.0,428344000.0,,790294000.0,1795177000.0,,10224000.0,,,,,-2932000.0,,-38708000.0,,-25693000.0,,,,,26847000.0,91960000.0,,,-35989000.0,,424000.0,55596000.0,-6086000.0,44407000.0
2010-12-31,4448323000.0,,,,,4291254000.0,157069000.0,,154282000.0,59900000.0,94836000.0,1.95,1.88,48754947.0,50447888.0,434166000.0,,,,,,64154000.0,656821000.0,,326341000.0,278051000.0,29109000.0,30057000.0,1943882000.0,,,117344000.0,765246000.0,,,,53378000.0,1146827000.0,453743000.0,,793939000.0,1943882000.0,,13874000.0,,,,,-3240000.0,,25700000.0,,168932000.0,,,,,60388000.0,63304000.0,,,-210607000.0,,963000.0,72089000.0,30414000.0,53938000.0
2011-03-31,1216357000.0,,,,,1177260000.0,39097000.0,,37151000.0,14328000.0,23745000.0,0.48,0.46,49750430.0,51811721.0,492045000.0,,,,,,67062000.0,743829000.0,,334180000.0,278105000.0,27813000.0,36470000.0,2003685000.0,,,127451000.0,817047000.0,,,,53116000.0,1172489000.0,477488000.0,,829002000.0,2003685000.0,,4394000.0,,,,,-1636000.0,,10106000.0,,93991000.0,,,,,0.0,15725000.0,,,-11978000.0,,1132000.0,-24134000.0,57879000.0,9567000.0
2011-06-30,2531371000.0,,,,,2436971000.0,94400000.0,,81643000.0,30757000.0,52119000.0,1.04,1.0,50167052.0,52489414.0,474450000.0,,,,,,69143000.0,774536000.0,,340392000.0,281981000.0,30342000.0,38041000.0,2010444000.0,,,111110000.0,749773000.0,,,,53899000.0,1140140000.0,505862000.0,,868466000.0,2010444000.0,,8839000.0,,,,,4001000.0,,-12465000.0,,53154000.0,,,,,3192000.0,31744000.0,,,-21111000.0,,1369000.0,8241000.0,40284000.0,40111000.0
2011-09-30,3833406000.0,,,,,3690459000.0,142947000.0,,128315000.0,49216000.0,81106000.0,1.62,1.55,50345512.0,52620350.0,451657000.0,,,,,,68908000.0,766376000.0,,345600000.0,281981000.0,28795000.0,57526000.0,2037498000.0,,,54764000.0,730380000.0,,,,54926000.0,1133399000.0,534849000.0,,902710000.0,2037498000.0,,13263000.0,-223000.0,,,,6667000.0,,-65183000.0,,89673000.0,,,,,3192000.0,52931000.0,,,-81151000.0,,1632000.0,8969000.0,17491000.0,49996000.0
2011-12-31,5340582000.0,,,,,5150258000.0,190324000.0,,174885000.0,66522000.0,111218000.0,2.22,2.12,50198954.0,52474238.0,,,,,14980000.0,,78363000.0,940010000.0,,349622000.0,281981000.0,27430000.0,58335000.0,2190336000.0,,,9890000.0,837613000.0,,47651000.0,,67960000.0,1253917000.0,564961000.0,,935634000.0,2190336000.0,,18171000.0,2031000.0,,,,11812000.0,,-109082000.0,,261696000.0,,,,,,68993000.0,,,-129076000.0,,4435000.0,6912000.0,139532000.0,50444000.0
2012-03-31,1712148000.0,,,,,1677950000.0,34198000.0,,34690000.0,12087000.0,23978000.0,0.47,0.45,51125674.0,53509243.0,432998000.0,,,,,,82925000.0,920377000.0,,352710000.0,281981000.0,26122000.0,58730000.0,2283147000.0,,,17977000.0,888322000.0,,,,68544000.0,1304028000.0,588939000.0,,979709000.0,2283147000.0,,6375000.0,5855000.0,,,,10723000.0,,8576000.0,,-32096000.0,,,,,,14980000.0,,,-120851000.0,,5472000.0,12247000.0,-140700000.0,20514000.0
2012-06-30,3822894000.0,,,,,3835442000.0,-46746000.0,,-47440000.0,-8608000.0,-34999000.0,-0.68,-0.68,51515895.0,51515895.0,421894000.0,,,,,,98805000.0,1073438000.0,,379970000.0,256288000.0,22481000.0,53011000.0,2449550000.0,,,29133000.0,1034236000.0,,,,61865000.0,1501563000.0,553940000.0,,951428000.0,2449550000.0,,11993000.0,9364000.0,,,,34105000.0,,19885000.0,,-9900000.0,,,,,,57442000.0,,,-210624000.0,,5810000.0,68720000.0,-151804000.0,32394000.0
2012-09-30,6271015000.0,,,,,6311204000.0,-40189000.0,,-22002000.0,-9547000.0,-7202000.0,-0.14,-0.14,51584860.0,53806197.0,796621000.0,,,,,,123841000.0,1376505000.0,,381781000.0,256288000.0,21375000.0,61764000.0,2690936000.0,,,131967000.0,1280114000.0,,,,61785000.0,1733872000.0,557759000.0,,963979000.0,2690936000.0,,18417000.0,-19318000.0,,,,23487000.0,,122077000.0,,307282000.0,,,,,,70601000.0,,,-138550000.0,,6049000.0,54191000.0,222923000.0,34001000.0
