Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,1724114000.0,,,,201694000.0,1051856000.0,672258000.0,-250771000.0,421487000.0,182565000.0,246595000.0,0.62,0.61,398375000.0,406948000.0,247293000.0,,67949000.0,,189451000.0,,89051000.0,651356000.0,,3175511000.0,2237850000.0,1598633000.0,651133000.0,8512668000.0,,,112047000.0,391244000.0,,,,662239000.0,5194543000.0,-2109532000.0,-12649000.0,3315082000.0,8512668000.0,414619000.0,60670000.0,156780000.0,17844000.0,,,,,-9166000.0,5808000.0,842126000.0,,,,,295603000.0,250262000.0,,6304000.0,-543066000.0,,,-194942000.0,104216000.0,
2010-03-31,454434000.0,,,,53527000.0,275585000.0,178849000.0,-54020000.0,124829000.0,28389000.0,96318000.0,0.24,0.24,402346000.0,406080000.0,352887000.0,,73541000.0,,216822000.0,,107208000.0,819197000.0,,3179196000.0,2246170000.0,1655608000.0,668104000.0,8674251000.0,,,117028000.0,422811000.0,,,,641564000.0,5216405000.0,-2013214000.0,28320000.0,3454910000.0,8674251000.0,110835000.0,13565000.0,,,,,23093000.0,,,30573000.0,253649000.0,,,,,88487000.0,55057000.0,,8211000.0,-150680000.0,,,2650000.0,105594000.0,
2010-06-30,924371000.0,,,,107109000.0,556806000.0,367565000.0,-112569000.0,254996000.0,58741000.0,195983000.0,0.49,0.48,402733000.0,405685000.0,302893000.0,,48872000.0,,224472000.0,,113844000.0,770538000.0,,3188461000.0,2255943000.0,1596492000.0,678120000.0,8585923000.0,,,128508000.0,358820000.0,,,,645052000.0,5155913000.0,-1913549000.0,-9829000.0,3426999000.0,8585923000.0,221238000.0,26792000.0,,,,,-33889000.0,,,58041000.0,516396000.0,,,,,132472000.0,132510000.0,,24059000.0,-286910000.0,,,-174863000.0,55600000.0,
2010-09-30,1437693000.0,,,,164404000.0,856756000.0,580937000.0,-161698000.0,419239000.0,129390000.0,289422000.0,0.72,0.71,401887000.0,405053000.0,371878000.0,,92869000.0,,210244000.0,,157438000.0,944308000.0,,3494402000.0,2458989000.0,1777828000.0,720905000.0,9448978000.0,,,140481000.0,614867000.0,,,,754156000.0,5995328000.0,-1820110000.0,24405000.0,3450600000.0,9448978000.0,336621000.0,40146000.0,,,,,56555000.0,,,72228000.0,774619000.0,,,,,584270000.0,228480000.0,,49715000.0,-859160000.0,,,199958000.0,124585000.0,
2010-12-31,1985335000.0,,,,229769000.0,1200957000.0,784378000.0,-228353000.0,556025000.0,182489000.0,372936000.0,0.93,0.92,401152000.0,404072000.0,883963000.0,,80961000.0,,-9598000.0,,147843000.0,1404174000.0,,3623835000.0,2490295000.0,1985352000.0,785874000.0,10368014000.0,,,134135000.0,542195000.0,89886000.0,,,808769000.0,6863456000.0,-1736596000.0,38053000.0,3501444000.0,10368014000.0,460726000.0,52555000.0,,18974000.0,,,,,44382000.0,3537000.0,1020977000.0,,,,,899606000.0,346664000.0,,24157000.0,-1300902000.0,,,910330000.0,636670000.0,36381000.0
2011-03-31,562695000.0,,,,66132000.0,344395000.0,218300000.0,-54917000.0,163383000.0,71423000.0,91842000.0,0.23,0.23,397768000.0,401899000.0,362823000.0,,97829000.0,,250250000.0,,150393000.0,951417000.0,,3770671000.0,2669986000.0,2440314000.0,849339000.0,10758749000.0,,,155608000.0,826407000.0,,,,1035598000.0,7249733000.0,-1644754000.0,54416000.0,3499194000.0,10758749000.0,131231000.0,12358000.0,,,,,13486000.0,,,38565000.0,283816000.0,,,,,617348000.0,97901000.0,,-3567000.0,-674530000.0,,,-137526000.0,-521140000.0,
2011-06-30,1159930000.0,,,,138453000.0,715841000.0,444089000.0,-101669000.0,342420000.0,137300000.0,207053000.0,0.52,0.52,397180000.0,401199000.0,332542000.0,,99823000.0,,256146000.0,,172011000.0,912085000.0,,3909635000.0,2779116000.0,2346710000.0,882281000.0,10973784000.0,,,125474000.0,1309883000.0,,,,739554000.0,7373996000.0,-1529543000.0,62470000.0,3561863000.0,10973784000.0,269789000.0,24045000.0,,,,,26913000.0,,,30287000.0,559338000.0,,,,,892554000.0,236580000.0,,-25123000.0,-1057287000.0,,,-57380000.0,-551421000.0,
2011-09-30,1790333000.0,,,,214929000.0,1117939000.0,672394000.0,-325021000.0,347373000.0,161981000.0,191352000.0,0.48,0.48,396507000.0,400467000.0,177506000.0,,100063000.0,,252699000.0,,228590000.0,813805000.0,,4125887000.0,2673631000.0,2208387000.0,336082000.0,10895336000.0,,,95851000.0,1371328000.0,,,,805649000.0,7547695000.0,-1545244000.0,-87070000.0,3263290000.0,10895336000.0,411902000.0,36185000.0,,,,,58891000.0,,,58809000.0,849998000.0,,,,,1220572000.0,397088000.0,,-13218000.0,-1559631000.0,,,4265000.0,-706457000.0,
2011-12-31,2443532000.0,,,,288824000.0,1523400000.0,920132000.0,-413237000.0,506895000.0,125080000.0,396462000.0,1.0,0.99,395711000.0,400195000.0,330191000.0,,100971000.0,,188303000.0,,,842771000.0,,4883473000.0,2805267000.0,2351955000.0,493828000.0,12232430000.0,214739000.0,304208000.0,93099000.0,779591000.0,125472000.0,,,562146000.0,8822288000.0,-1477899000.0,-142617000.0,3287220000.0,12232430000.0,555517000.0,47437000.0,,28857000.0,,,,,-6351000.0,9483000.0,1165942000.0,,,,,2320673000.0,523015000.0,,-25495000.0,-2790812000.0,,,1086095000.0,-553772000.0,53909000.0
2012-03-31,696517000.0,,,,79584000.0,422071000.0,274446000.0,-36858000.0,237588000.0,27248000.0,221306000.0,0.56,0.56,393885000.0,398453000.0,471258000.0,,105120000.0,,30318000.0,,,975369000.0,,5006647000.0,2767516000.0,2523354000.0,480198000.0,12638206000.0,226283000.0,336094000.0,92939000.0,939267000.0,,,,582451000.0,9051803000.0,-1339627000.0,-97682000.0,3478968000.0,12638206000.0,149655000.0,13045000.0,,,,,,,,,402017000.0,,,,,159403000.0,121032000.0,,1871000.0,-291296000.0,,,27440000.0,141067000.0,-897000.0
2012-06-30,1394251000.0,,,,156432000.0,849319000.0,544932000.0,-249845000.0,295087000.0,51063000.0,269515000.0,0.68,0.68,394743000.0,398811000.0,481937000.0,,99181000.0,,28986000.0,,,919009000.0,,5079729000.0,2714718000.0,2569999000.0,524628000.0,12709359000.0,201386000.0,325056000.0,91414000.0,906493000.0,,,,599766000.0,9223169000.0,-1378518000.0,-203303000.0,3357548000.0,12709359000.0,321727000.0,26596000.0,,,,,,,,,762875000.0,,,,,532860000.0,226402000.0,,2450000.0,-766909000.0,,,170290000.0,151746000.0,12776000.0
