Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,,,3495000000.0,,,,,,2343000000.0,599000000.0,658000000.0,0.99,0.98,,,1809000000.0,,2152000000.0,569000000.0,218000000.0,,1558000000.0,8787000000.0,,24297000000.0,1299000000.0,510000000.0,1551000000.0,39535000000.0,1217000000.0,3017000000.0,,6621000000.0,,1090000000.0,,3208000000.0,,650000000.0,-2724000000.0,4675000000.0,39535000000.0,,,15000000.0,-62000000.0,34000000.0,,177000000.0,,,-366000000.0,2213000000.0,,,,,,2520000000.0,,26000000.0,-1917000000.0,,,610000000.0,928000000.0,484000000.0
2010-03-31,,,1000000000.0,,,,,,580000000.0,196000000.0,187000000.0,0.27,0.27,,,3392000000.0,,2244000000.0,575000000.0,235000000.0,,1215000000.0,10460000000.0,,24827000000.0,1297000000.0,508000000.0,1556000000.0,41882000000.0,,,,6894000000.0,,1130000000.0,,3253000000.0,,791000000.0,-2881000000.0,6247000000.0,41882000000.0,,,29000000.0,64000000.0,-3000000.0,,70000000.0,,,42000000.0,684000000.0,,,,,,493000000.0,,-59000000.0,-595000000.0,1570000000.0,,1515000000.0,1583000000.0,260000000.0
2010-06-30,,,1968000000.0,,,,,,1106000000.0,451000000.0,331000000.0,0.44,0.44,795000000.0,800000000.0,2891000000.0,,2184000000.0,551000000.0,257000000.0,,1086000000.0,9564000000.0,,24086000000.0,1293000000.0,574000000.0,1533000000.0,40701000000.0,,,,6364000000.0,,1208000000.0,,2742000000.0,,942000000.0,-2602000000.0,6687000000.0,40701000000.0,-561000000.0,,117000000.0,69000000.0,1000000.0,,51000000.0,,,56000000.0,1416000000.0,,,3210000000.0,,,1002000000.0,,-43000000.0,-955000000.0,1569000000.0,,692000000.0,1109000000.0,429000000.0
2010-09-30,,,2953000000.0,,,,,,1487000000.0,562000000.0,445000000.0,0.58,0.58,794000000.0,799000000.0,2848000000.0,,2349000000.0,611000000.0,244000000.0,,1142000000.0,9768000000.0,,24975000000.0,1276000000.0,610000000.0,1634000000.0,41780000000.0,,,,7029000000.0,,1249000000.0,,3025000000.0,,1056000000.0,-2504000000.0,6890000000.0,41780000000.0,847000000.0,,31000000.0,136000000.0,-9000000.0,,51000000.0,,,108000000.0,2412000000.0,,,4652000000.0,,,1528000000.0,,-31000000.0,-1347000000.0,1566000000.0,,22000000.0,1066000000.0,589000000.0
2010-12-31,,,3964000000.0,,,,,,1044000000.0,307000000.0,9000000.0,0.01,0.01,769000000.0,769000000.0,2554000000.0,,2362000000.0,600000000.0,13000000.0,,1059000000.0,9446000000.0,,24621000000.0,1271000000.0,516000000.0,1624000000.0,40511000000.0,2060000000.0,2700000000.0,,8065000000.0,,895000000.0,8000000.0,2863000000.0,,620000000.0,-2383000000.0,6473000000.0,40511000000.0,-1137000000.0,,-418000000.0,98000000.0,-10000000.0,,248000000.0,,,257000000.0,3510000000.0,,,5888000000.0,,,2310000000.0,,-40000000.0,-2040000000.0,1567000000.0,,-706000000.0,772000000.0,698000000.0
2011-03-31,,,1016000000.0,,,,,,703000000.0,218000000.0,224000000.0,0.28,0.28,787000000.0,792000000.0,2008000000.0,,2489000000.0,634000000.0,310000000.0,,741000000.0,8746000000.0,,25023000000.0,1269000000.0,515000000.0,1618000000.0,40500000000.0,1873000000.0,2273000000.0,,7551000000.0,,907000000.0,,2713000000.0,,844000000.0,-2248000000.0,6792000000.0,40500000000.0,296000000.0,,17000000.0,112000000.0,69000000.0,,-11000000.0,,,59000000.0,505000000.0,,,1257000000.0,,,479000000.0,,20000000.0,-601000000.0,0.0,,-463000000.0,-544000000.0,304000000.0
2011-06-30,,,2035000000.0,,,,,,1328000000.0,396000000.0,398000000.0,0.51,0.5,785000000.0,790000000.0,3624000000.0,,2614000000.0,654000000.0,298000000.0,,855000000.0,10173000000.0,,25547000000.0,1267000000.0,527000000.0,2057000000.0,42635000000.0,1892000000.0,2452000000.0,,7193000000.0,,891000000.0,,2938000000.0,,1018000000.0,-2278000000.0,6911000000.0,42635000000.0,607000000.0,,28000000.0,182000000.0,88000000.0,,43000000.0,,,178000000.0,1180000000.0,,,3124000000.0,,,1019000000.0,,15000000.0,-757000000.0,0.0,,620000000.0,1072000000.0,506000000.0
2011-09-30,13117000000.0,,3019000000.0,,,,,,1519000000.0,469000000.0,267000000.0,0.34,0.34,783000000.0,787000000.0,3392000000.0,,2364000000.0,668000000.0,278000000.0,,1128000000.0,10067000000.0,,23813000000.0,1246000000.0,493000000.0,2133000000.0,40883000000.0,1792000000.0,2619000000.0,,7241000000.0,,621000000.0,,2978000000.0,,887000000.0,-2727000000.0,6233000000.0,40883000000.0,909000000.0,,-67000000.0,185000000.0,118000000.0,,167000000.0,,,227000000.0,2308000000.0,,,4218000000.0,,,1832000000.0,,4000000.0,-1734000000.0,0.0,,347000000.0,842000000.0,647000000.0
2011-12-31,17274000000.0,,4134000000.0,,,,,,2179000000.0,636000000.0,58000000.0,0.07,0.07,778000000.0,783000000.0,1710000000.0,,2547000000.0,789000000.0,-199000000.0,,1576000000.0,9228000000.0,,25731000000.0,3733000000.0,566000000.0,2340000000.0,45333000000.0,2020000000.0,3419000000.0,,8446000000.0,,1328000000.0,3000000.0,3119000000.0,,678000000.0,-2758000000.0,5946000000.0,45333000000.0,1209000000.0,,-199000000.0,236000000.0,141000000.0,,403000000.0,,,351000000.0,2884000000.0,,,6119000000.0,,,2430000000.0,,-6000000.0,-4906000000.0,0.0,,1412000000.0,-815000000.0,971000000.0
2012-03-31,4740000000.0,,1078000000.0,,,,,,773000000.0,267000000.0,341000000.0,0.45,0.44,766000000.0,785000000.0,1688000000.0,,2735000000.0,799000000.0,480000000.0,,1394000000.0,9559000000.0,,25589000000.0,3732000000.0,550000000.0,2273000000.0,45431000000.0,2014000000.0,3114000000.0,,7978000000.0,,1445000000.0,,3132000000.0,,1019000000.0,-2575000000.0,6489000000.0,45431000000.0,351000000.0,,101000000.0,189000000.0,11000000.0,,156000000.0,,,41000000.0,534000000.0,,,1523000000.0,,,579000000.0,,-4000000.0,-725000000.0,,,37000000.0,-16000000.0,325000000.0
