Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2010-06-30,1771000000.0,,,,,1301000000.0,470000000.0,,386000000.0,102000000.0,293000000.0,,,,,139000000.0,,,,91000000.0,,,,,346000000.0,3271000000.0,,,17020000000.0,,,,,,,,,14591000000.0,2063000000.0,-610000000.0,2401000000.0,17020000000.0,,25000000.0,,1262000000.0,,,111000000.0,1548000000.0,,-19000000.0,156000000.0,,,,,15000000.0,45000000.0,,,-57000000.0,17000000.0,1000000.0,-137000000.0,-38000000.0,
2010-09-30,2504000000.0,,,,,1928000000.0,576000000.0,,452000000.0,112000000.0,357000000.0,,,,,141000000.0,,,,53000000.0,,,,,356000000.0,3275000000.0,,,15752000000.0,,,,,,,,,13254000000.0,2083000000.0,-572000000.0,2470000000.0,15752000000.0,,34000000.0,,-4000000.0,,,84000000.0,85000000.0,,-143000000.0,260000000.0,,,,2000000.0,20000000.0,59000000.0,,,-76000000.0,26000000.0,,-226000000.0,-42000000.0,
2010-12-31,3339000000.0,,,,,2586000000.0,753000000.0,,587000000.0,140000000.0,455000000.0,,,,,316000000.0,,839000000.0,,36000000.0,,340000000.0,11100000000.0,,381000000.0,3294000000.0,,233000000.0,15847000000.0,,266000000.0,,10309000000.0,,83000000.0,,347000000.0,13239000000.0,2136000000.0,-541000000.0,2577000000.0,15847000000.0,,47000000.0,,,,,266000000.0,,,60000000.0,489000000.0,,,,1000000.0,21000000.0,83000000.0,,,-94000000.0,36000000.0,2000000.0,-293000000.0,102000000.0,
2011-03-31,1008000000.0,,,,,770000000.0,238000000.0,,27000000.0,1000000.0,34000000.0,0.2,0.2,,,432000000.0,,992000000.0,,27000000.0,,369000000.0,12304000000.0,,386000000.0,3312000000.0,,357000000.0,17238000000.0,,343000000.0,,11358000000.0,,65000000.0,,371000000.0,14569000000.0,2125000000.0,-509000000.0,2630000000.0,17238000000.0,,14000000.0,,139000000.0,,,172000000.0,,,85000000.0,7000000.0,,,,1000000.0,3000000.0,20000000.0,,,-24000000.0,19000000.0,1000000.0,127000000.0,110000000.0,
2011-09-30,2633000000.0,,,,,2148000000.0,485000000.0,,202000000.0,34000000.0,179000000.0,1.04,1.02,173000000.0,176000000.0,363000000.0,,911000000.0,,21000000.0,,315000000.0,11700000000.0,,387000000.0,3297000000.0,,339000000.0,16615000000.0,62000000.0,274000000.0,,10820000000.0,,124000000.0,,362000000.0,13898000000.0,2180000000.0,-539000000.0,2688000000.0,16615000000.0,,33000000.0,,80000000.0,,,162000000.0,,,-16000000.0,272000000.0,,,,4000000.0,5000000.0,71000000.0,,,-72000000.0,46000000.0,5000000.0,-150000000.0,50000000.0,-6000000.0
2011-12-31,3447000000.0,,,,,2881000000.0,566000000.0,,239000000.0,32000000.0,204000000.0,1.18,1.16,173000000.0,176000000.0,436000000.0,,910000000.0,,8000000.0,,259000000.0,10987000000.0,,406000000.0,3295000000.0,,283000000.0,15728000000.0,59000000.0,282000000.0,,9996000000.0,,32000000.0,,363000000.0,13211000000.0,2160000000.0,-744000000.0,2486000000.0,15728000000.0,,41000000.0,17000000.0,92000000.0,,,43000000.0,,,-32000000.0,439000000.0,,,,5000000.0,10000000.0,111000000.0,,,-101000000.0,60000000.0,5000000.0,-214000000.0,124000000.0,15000000.0
2012-03-31,1013000000.0,,,,,696000000.0,317000000.0,,285000000.0,68000000.0,225000000.0,1.29,1.28,174000000.0,176000000.0,464000000.0,,1009000000.0,,51000000.0,,325000000.0,12217000000.0,,426000000.0,3308000000.0,,353000000.0,17091000000.0,84000000.0,334000000.0,,11091000000.0,,47000000.0,,371000000.0,14387000000.0,2319000000.0,-715000000.0,2675000000.0,17091000000.0,,9000000.0,,80000000.0,,,7000000.0,,,74000000.0,62000000.0,,,,2000000.0,2000000.0,36000000.0,,,-37000000.0,11000000.0,,,25000000.0,9000000.0
2012-06-30,1855000000.0,,,,,1359000000.0,496000000.0,,431000000.0,104000000.0,333000000.0,1.91,1.89,174000000.0,176000000.0,407000000.0,,1022000000.0,,26000000.0,,309000000.0,12726000000.0,,428000000.0,3298000000.0,,360000000.0,17608000000.0,66000000.0,297000000.0,,11649000000.0,,38000000.0,,381000000.0,14897000000.0,2343000000.0,-747000000.0,2687000000.0,17608000000.0,,17000000.0,,111000000.0,,,10000000.0,,,39000000.0,158000000.0,,,,4000000.0,4000000.0,63000000.0,,,-66000000.0,23000000.0,1000000.0,-120000000.0,-28000000.0,21000000.0
2012-09-30,2609000000.0,,,,,2043000000.0,566000000.0,,469000000.0,114000000.0,359000000.0,2.08,2.04,173000000.0,176000000.0,424000000.0,,908000000.0,,42000000.0,,317000000.0,12116000000.0,,446000000.0,3304000000.0,,328000000.0,17003000000.0,72000000.0,289000000.0,,11086000000.0,,75000000.0,,376000000.0,14305000000.0,2278000000.0,-720000000.0,2674000000.0,17003000000.0,,24000000.0,,-8000000.0,,,23000000.0,,,-17000000.0,310000000.0,,,,5000000.0,4000000.0,97000000.0,1000000.0,,-99000000.0,41000000.0,2000000.0,-224000000.0,-13000000.0,43000000.0
2012-12-31,3480000000.0,,,,,3689000000.0,-209000000.0,,-337000000.0,101000000.0,-446000000.0,-2.58,-2.58,173000000.0,173000000.0,500000000.0,,933000000.0,,-8000000.0,,181000000.0,10898000000.0,,468000000.0,2827000000.0,,206000000.0,15112000000.0,88000000.0,327000000.0,,10194000000.0,,18000000.0,,375000000.0,13387000000.0,1427000000.0,-853000000.0,1699000000.0,15112000000.0,-79000000.0,32000000.0,54000000.0,17000000.0,,,-12000000.0,,,215000000.0,525000000.0,,,,7000000.0,33000000.0,135000000.0,2000000.0,,-172000000.0,53000000.0,2000000.0,-291000000.0,62000000.0,63000000.0
