Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,1498700000.0,594882000.0,903818000.0,77154000.0,421403000.0,,394602000.0,,386652000.0,63339000.0,,3.37,3.34,95797000.0,96862000.0,341111000.0,,314247000.0,178666000.0,,,49206000.0,1172376000.0,,210926000.0,293077000.0,182165000.0,49387000.0,1907931000.0,49573000.0,58117000.0,,394568000.0,,,72604000.0,22766000.0,1058982000.0,2236716000.0,15574000.0,,1907931000.0,,28255000.0,36276000.0,-16905000.0,-6823000.0,,-689000.0,,,-13220000.0,418263000.0,,,,0.0,-36086000.0,,,,-419028000.0,,5083000.0,-90280000.0,-87411000.0,
2010-04-03,367700000.0,145932000.0,221768000.0,20076000.0,106693000.0,,92357000.0,,90072000.0,14554000.0,,0.81,0.79,93629000.0,95223000.0,297012000.0,,313951000.0,189221000.0,,,53865000.0,1249217000.0,,208957000.0,291734000.0,179557000.0,51777000.0,1981242000.0,57823000.0,55774000.0,,305204000.0,,,72479000.0,21074000.0,1168200000.0,2312234000.0,-7680000.0,,1981242000.0,,6031000.0,-1950000.0,-6230000.0,-16134000.0,,-4222000.0,,,-1168000.0,103155000.0,,,,,0.0,,,,-116187000.0,,2182000.0,-18479000.0,-44099000.0,
2010-07-03,758755000.0,301065000.0,457690000.0,40883000.0,213632000.0,,197941000.0,,192483000.0,32043000.0,,,,93110000.0,94753000.0,310884000.0,,314174000.0,191782000.0,,,51429000.0,1311858000.0,,210649000.0,289929000.0,172203000.0,51760000.0,2036399000.0,59320000.0,59878000.0,,362571000.0,,,74037000.0,19654000.0,1223449000.0,2397156000.0,-36143000.0,812950000.0,2036399000.0,,12314000.0,-4014000.0,12852000.0,25169000.0,,7800000.0,,,-815000.0,214827000.0,,,,,0.0,,,,-175672000.0,,3862000.0,-40157000.0,-30227000.0,
2010-12-31,1643371000.0,653303000.0,990068000.0,84274000.0,445456000.0,,449932000.0,,437863000.0,56100000.0,,,,92385000.0,94057000.0,308498000.0,,358237000.0,204300000.0,67722000.0,,77685000.0,1586641000.0,,215060000.0,291657000.0,181316000.0,52996000.0,2327670000.0,64406000.0,72932000.0,,385850000.0,,,77764000.0,22635000.0,1258873000.0,2618479000.0,-11795000.0,1068797000.0,2327670000.0,,24852000.0,-15037000.0,43286000.0,37036000.0,,-2472000.0,,,3895000.0,457856000.0,,,,,0.0,,,,-411515000.0,,10809000.0,-60252000.0,-32613000.0,39688000.0
2011-04-02,427603000.0,169829000.0,257774000.0,22254000.0,117124000.0,,115895000.0,,112525000.0,18036000.0,,,,91649000.0,93313000.0,296860000.0,,349397000.0,223882000.0,,,71006000.0,1683334000.0,,216989000.0,293517000.0,191432000.0,61890000.0,2447162000.0,67404000.0,60963000.0,,716229000.0,,,78855000.0,25542000.0,1296368000.0,2712968000.0,22279000.0,1150794000.0,2447162000.0,,7015000.0,-1479000.0,-17730000.0,17353000.0,,1755000.0,,,4410000.0,122761000.0,,,,,,,,,-121107000.0,,5832000.0,-27250000.0,-11638000.0,
2011-07-02,875230000.0,345932000.0,529298000.0,45268000.0,242563000.0,,236462000.0,,228853000.0,34289000.0,,,,91662000.0,93302000.0,344914000.0,,365331000.0,243180000.0,,,69820000.0,1800008000.0,,218637000.0,294020000.0,195074000.0,64117000.0,2571856000.0,67967000.0,67125000.0,,467297000.0,,,77594000.0,25000000.0,1346322000.0,2813043000.0,32495000.0,1225534000.0,2571856000.0,,13763000.0,-3692000.0,-7191000.0,36051000.0,,1597000.0,,,3027000.0,219979000.0,,,,,,,,,-174114000.0,,15246000.0,-24727000.0,36416000.0,
2011-10-01,1329764000.0,526250000.0,803514000.0,68640000.0,363774000.0,,363726000.0,,350571000.0,54750000.0,,,,91334000.0,92898000.0,423926000.0,,354445000.0,246258000.0,,,68439000.0,1863359000.0,,221059000.0,298297000.0,196305000.0,60595000.0,2639615000.0,64393000.0,62291000.0,,605579000.0,,,77537000.0,25464000.0,1480532000.0,2914300000.0,-783000.0,1159083000.0,2639615000.0,,20645000.0,-7072000.0,-10040000.0,46235000.0,,4023000.0,,,4782000.0,347312000.0,,,,,11000000.0,,,,-194714000.0,,15316000.0,-37953000.0,115428000.0,
2011-12-31,1851184000.0,730493000.0,1120691000.0,92347000.0,490011000.0,,528600000.0,,509252000.0,76284000.0,,,,90833000.0,92325000.0,383990000.0,,367085000.0,212864000.0,80012000.0,,80804000.0,1942104000.0,,237095000.0,297071000.0,191992000.0,54972000.0,2723234000.0,55317000.0,73136000.0,,601863000.0,,,72613000.0,29210000.0,1496656000.0,3051447000.0,-36055000.0,1226578000.0,2723234000.0,,27579000.0,-5824000.0,12528000.0,18838000.0,,12071000.0,,,11211000.0,497374000.0,,,,,11100000.0,,,,-355976000.0,,32239000.0,-60422000.0,75492000.0,50313000.0
2012-03-31,420458000.0,167290000.0,253168000.0,23347000.0,117119000.0,,110217000.0,,104495000.0,15829000.0,,,,88992000.0,90269000.0,427186000.0,,353746000.0,233362000.0,,,82818000.0,2023479000.0,,238955000.0,309088000.0,205355000.0,62539000.0,2839416000.0,61468000.0,67050000.0,,648283000.0,,,72030000.0,29446000.0,1551885000.0,3140113000.0,-22936000.0,1287531000.0,2839416000.0,,7267000.0,-4830000.0,-16012000.0,18057000.0,,-1773000.0,,,-304000.0,111198000.0,,,,,18414000.0,,,,-62954000.0,,5503000.0,-11995000.0,43196000.0,
2012-06-30,871923000.0,346549000.0,525374000.0,47290000.0,239801000.0,,230340000.0,,218771000.0,32381000.0,,,,88650000.0,89823000.0,369429000.0,,355144000.0,236763000.0,,,81248000.0,2065292000.0,,251357000.0,306770000.0,199013000.0,61124000.0,2883556000.0,62792000.0,71750000.0,,721657000.0,,,71014000.0,31143000.0,1620873000.0,3237837000.0,-53589000.0,1262683000.0,2883556000.0,,14381000.0,-7147000.0,-5929000.0,29327000.0,,-862000.0,,,1889000.0,216274000.0,,,,,18414000.0,,,,-190681000.0,,5832000.0,-36537000.0,-14561000.0,
