Date,Net sales,Cost of sales,Gross margin,Research and development,"Selling, general and administrative",Total operating expenses,Operating income,"Other income/(expense), net",Income before provision for income taxes,Provision for income taxes,Net income,Earnings per share basic,Earnings per share diluted,Weighted-average basic,Weighted-average diluted,Cash and cash equivalents,Short-term marketable securities,"Accounts receivable, net",Inventories,Deferred tax assets,Vendor non-trade receivables,Other current assets,Total current assets,Long-term marketable securities,"Property, Plant and Equipment, Net",Goodwill,"Acquired intangible assets, net","Other Assets, Noncurrent",Total assets,accounts payable,Accrued expenses,Deferred revenue,Total current liabilities,Deferred revenue - non-current,deferred tax liabilities,long term taxes payable,Total other non-current liabilities,Total liabilities,Retained Earnings (Accumulated Deficit),Accumulated other comprehensive (loss)/income,Total shareholders equity,Total liabilities and shareholders' equity,"Depreciation, amortization and accretion",Stock-based compensation expense,Deferred income tax expense,"Increase (Decrease) in Accounts receivable, net",Increase (Decrease) in Inventories,Increase (Decrease) in Other Receivables,Increase (Decrease) in Other Operating Assets,Increase (Decrease) in Accounts Payable,Increase (Decrease) in Deferred Revenue,Increase (Decrease) Other liabilities,Cash generated by operating activities,Purchases of marketable securities,Proceeds from maturities of marketable securities,Proceeds from sales of marketable securities,Purchases of other long-term investments,"Business acquisitions, net of cash acquired",Cash payments for capital asset purchases,Payments for acquisition of intangible assets,Payments for (Proceeds from) Other Investing Activities,Cash used in investing activities,Proceeds from issuance of common stock,Excess tax benefits from stock-based compensation,Cash generated/used in financing activities,Increase/(decrease) in cash and cash equivalents,"Cash paid for income taxes, net"
2009-12-31,5951782000.0,2386007000.0,,,2141251000.0,4692742000.0,1255736000.0,,1178869000.0,429108000.0,730502000.0,2.34,2.33,312223000.0,313296000.0,1209927000.0,,969662000.0,301229000.0,278414000.0,,,2936396000.0,,579796000.0,1690507000.0,,166379000.0,6475250000.0,301828000.0,114157000.0,1115357000.0,2451954000.0,,9965000.0,,226842000.0,4546073000.0,6522613000.0,-343017000.0,1847287000.0,6475250000.0,,22268000.0,5688000.0,50313000.0,67645000.0,,,,25619000.0,-14453000.0,1320779000.0,,,,,0.0,68526000.0,,,-278692000.0,,329000.0,-326050000.0,738256000.0,
2010-03-31,1190390000.0,476226000.0,,,487971000.0,1000126000.0,190264000.0,,168225000.0,61234000.0,103286000.0,0.33,0.33,313372000.0,316264000.0,1209370000.0,,766467000.0,319126000.0,289524000.0,,,2774993000.0,,558807000.0,1689627000.0,,168619000.0,6289236000.0,293373000.0,30953000.0,1117448000.0,2206367000.0,,9428000.0,,229505000.0,4304251000.0,6551841000.0,-350654000.0,1900796000.0,6289236000.0,,8337000.0,-10808000.0,190657000.0,-17110000.0,,,,9180000.0,9153000.0,102824000.0,,,,,,7623000.0,,,-37001000.0,,1132000.0,-50758000.0,-557000.0,
2010-06-30,2664446000.0,1037121000.0,,,1035690000.0,2147924000.0,516522000.0,,473643000.0,172406000.0,294370000.0,0.94,0.94,312263000.0,314709000.0,1117827000.0,,994039000.0,339654000.0,289544000.0,,,2907953000.0,,545800000.0,1688646000.0,,176719000.0,6364026000.0,325029000.0,48672000.0,1144262000.0,2359777000.0,,8971000.0,,234112000.0,4444100000.0,6668804000.0,-356790000.0,1842946000.0,6364026000.0,,22990000.0,-16757000.0,42371000.0,38597000.0,,,,42776000.0,-6781000.0,359534000.0,,,,,,22085000.0,,,-100905000.0,,1254000.0,-321458000.0,-92100000.0,
2010-09-30,4644252000.0,1757812000.0,,,1639972000.0,3506742000.0,1137510000.0,,1086370000.0,395439000.0,674220000.0,2.17,2.15,310573000.0,312885000.0,1322841000.0,,1123133000.0,295104000.0,292176000.0,,,3178724000.0,,542202000.0,1865512000.0,656449000.0,288982000.0,6884288000.0,335226000.0,102956000.0,1125994000.0,2587697000.0,,,,390593000.0,4669802000.0,6975531000.0,-330904000.0,2130065000.0,6884288000.0,,44827000.0,-23359000.0,163675000.0,-6579000.0,,,,2157000.0,-9831000.0,1053343000.0,,,,,324964000.0,38646000.0,,,-467249000.0,,1281000.0,-463988000.0,112914000.0,
2010-12-31,6168331000.0,2346028000.0,,,2262203000.0,4758330000.0,1421059000.0,,1339416000.0,487547000.0,828063000.0,2.68,2.65,309379000.0,312220000.0,1525596000.0,,990573000.0,275102000.0,233000000.0,,,3294611000.0,,548767000.0,1886963000.0,663882000.0,287354000.0,7046561000.0,396480000.0,114466000.0,1205744000.0,2680874000.0,,63900000.0,,439855000.0,4755170000.0,7056628000.0,-367379000.0,2210296000.0,7046561000.0,125492000.0,66485000.0,74406000.0,37039000.0,-26923000.0,,,,74855000.0,-18761000.0,1458179000.0,,,,,364396000.0,115443000.0,,,-597550000.0,,1514000.0,-533409000.0,315669000.0,410342000.0
2011-03-31,1281900000.0,516400000.0,,,509400000.0,1067500000.0,214400000.0,,195300000.0,71100000.0,120000000.0,0.39,0.39,305200000.0,309600000.0,1269600000.0,,825300000.0,317600000.0,281500000.0,,,2924000000.0,,536600000.0,1985000000.0,681500000.0,291300000.0,6789700000.0,340600000.0,30900000.0,1223900000.0,2380000000.0,,,,453800000.0,4474000000.0,7098800000.0,-339300000.0,2229200000.0,6789700000.0,32200000.0,18100000.0,4500000.0,-197400000.0,40900000.0,,,,1600000.0,1000000.0,49300000.0,,,,,126200000.0,18400000.0,,,-179000000.0,,800000.0,-150900000.0,-256000000.0,
2011-06-30,2862700000.0,1123300000.0,,,1096300000.0,2302700000.0,573200000.0,,534600000.0,194600000.0,331100000.0,1.09,1.07,304400000.0,309400000.0,1300200000.0,,1021300000.0,340300000.0,281300000.0,,,3126400000.0,,526500000.0,1984800000.0,666700000.0,288600000.0,6944000000.0,339800000.0,48500000.0,1246000000.0,2523200000.0,,,,450500000.0,4608200000.0,7233000000.0,-326800000.0,2255000000.0,6944000000.0,64400000.0,41200000.0,100000.0,-2700000.0,63100000.0,,,,16400000.0,,338400000.0,,,,,126100000.0,44600000.0,,-19900000.0,-213600000.0,,1900000.0,-379000000.0,-225400000.0,
2011-09-30,4726400000.0,1807500000.0,,,1635100000.0,3559500000.0,1180100000.0,,1123300000.0,407800000.0,696600000.0,2.31,2.27,302200000.0,307400000.0,1437600000.0,,1133300000.0,285300000.0,281500000.0,,,3389500000.0,,488300000.0,2037800000.0,621300000.0,311900000.0,7153700000.0,333500000.0,101100000.0,1244600000.0,2760200000.0,,,,437400000.0,4865600000.0,7525100000.0,-372900000.0,2208200000.0,7153700000.0,95000000.0,64800000.0,-4800000.0,146900000.0,11900000.0,,,,23700000.0,,1037600000.0,,,,,198900000.0,69600000.0,,-21400000.0,-366200000.0,,3300000.0,-752900000.0,-88000000.0,
2011-12-31,6246000000.0,2400000000.0,,,2281000000.0,4837000000.0,1422000000.0,,1347000000.0,489000000.0,911000000.0,3.05,3.0,298000000.0,304000000.0,944000000.0,,1045000000.0,263000000.0,250000000.0,,,2679000000.0,,500000000.0,2048000000.0,608000000.0,267000000.0,6427000000.0,347000000.0,119000000.0,1303000000.0,3130000000.0,,28000000.0,,402000000.0,4843000000.0,7667000000.0,-425000000.0,1508000000.0,6427000000.0,127000000.0,97000000.0,10000000.0,55000000.0,-13000000.0,,,,83000000.0,,1344000000.0,,,,,200000000.0,119000000.0,,-238000000.0,-246000000.0,,19000000.0,-1665000000.0,-582000000.0,452000000.0
2012-03-31,1331000000.0,529000000.0,,,544000000.0,1110000000.0,221000000.0,,200000000.0,73000000.0,123000000.0,0.44,0.43,278000000.0,283800000.0,908000000.0,,932000000.0,293000000.0,259000000.0,,,2578000000.0,,485000000.0,2062000000.0,597000000.0,284000000.0,6352000000.0,337000000.0,33000000.0,1306000000.0,2858000000.0,,,,402000000.0,4566000000.0,7719000000.0,-404000000.0,1706000000.0,6352000000.0,30000000.0,20000000.0,2000000.0,-115000000.0,28000000.0,,,,-2000000.0,,-25000000.0,,,,,16000000.0,15000000.0,,,-64000000.0,,5000000.0,42000000.0,-36000000.0,
